scenario_id,source_day,executable_service_factor,rack_residual_capacity_factor,background_loading_factor,recourse_deliverable_factor,unexecuted_factor,April_rows_used
22,2025-03-29,1.4761452523466358,0.12090130465093117,1.1610506687048159,0.12090130465093117,0.8790986953490688,0
23,2025-03-17,0.09554534825445389,0.05,1.212325228329515,0.05,0.95,0
24,2025-02-27,1.5,0.16399918300653593,1.3317590876089238,0.16399918300653593,0.8360008169934641,0
25,2025-01-22,1.5,0.2794219219219219,1.2255295127650818,0.2794219219219219,0.7205780780780782,0
26,2025-01-17,1.5,0.1613063063063063,1.2443932647650515,0.1613063063063063,0.8386936936936937,0
27,2025-02-20,1.5,0.08377410130718954,1.2928211884955363,0.08377410130718954,0.9162258986928105,0
28,2025-02-06,0.0,0.05,1.4563856279473206,0.0,1.0,0
29,2025-02-02,1.5,0.19053007356122886,1.4361387979023463,0.19053007356122886,0.8094699264387711,0
30,2025-02-10,1.5,0.18396604938271605,1.2771020826461346,0.18396604938271605,0.816033950617284,0
31,2025-03-30,1.5,0.3520058760683761,1.2735839338956172,0.3520058760683761,0.6479941239316239,0
32,2025-02-07,0.0,0.05,1.1923743830013465,0.0,1.0,0
33,2025-03-22,0.09427711149635146,0.05,1.2650572005905343,0.05,0.95,0
34,2025-02-05,1.5,0.08614535768645358,1.3654647176690067,0.08614535768645358,0.9138546423135464,0
35,2025-03-28,0.0,0.05,1.2906773537939047,0.0,1.0,0
36,2025-03-01,1.5,0.0805674189814815,1.3275814324747945,0.0805674189814815,0.9194325810185185,0
37,2025-03-15,1.5,0.12778949129852746,1.3645053722102398,0.12778949129852746,0.8722105087014725,0
38,2025-01-31,0.0,0.05,1.3135226847888042,0.0,1.0,0
39,2025-01-19,0.0,0.05,1.49027971093223,0.0,1.0,0
40,2025-01-21,1.5,0.11101459034792366,1.383495410375918,0.11101459034792366,0.8889854096520764,0
41,2025-02-26,1.5,0.05,1.335203999445123,0.05,0.95,0
42,2025-02-26,1.5,0.05,1.335203999445123,0.05,0.95,0
43,2025-03-15,1.5,0.12778949129852746,1.3645053722102398,0.12778949129852746,0.8722105087014725,0
44,2025-01-18,0.0,0.05,1.4943992242509903,0.0,1.0,0
45,2025-02-10,1.5,0.18396604938271605,1.2771020826461346,0.18396604938271605,0.816033950617284,0
46,2025-03-07,1.5,0.6160532407407407,1.3928672321236113,0.6160532407407407,0.38394675925925925,0
47,2025-02-01,1.5,0.5818434343434343,1.529451247551019,0.5818434343434343,0.41815656565656567,0
48,2025-02-05,1.5,0.08614535768645358,1.3654647176690067,0.08614535768645358,0.9138546423135464,0
49,2025-01-31,0.0,0.05,1.3135226847888042,0.0,1.0,0
50,2025-02-25,1.1420743319382114,0.09169232253086419,1.3379499686060128,0.09169232253086419,0.9083076774691358,0
51,2025-03-17,0.09554534825445389,0.05,1.212325228329515,0.05,0.95,0
52,2025-02-01,1.5,0.5818434343434343,1.529451247551019,0.5818434343434343,0.41815656565656567,0
53,2025-02-09,0.0,0.05,1.2650319973109667,0.0,1.0,0
54,2025-02-01,1.5,0.5818434343434343,1.529451247551019,0.5818434343434343,0.41815656565656567,0
55,2025-03-07,1.5,0.6160532407407407,1.3928672321236113,0.6160532407407407,0.38394675925925925,0
56,2025-03-16,1.5,0.10622123519458546,1.1051300101076498,0.10622123519458546,0.8937787648054145,0
57,2025-02-20,1.5,0.08377410130718954,1.2928211884955363,0.08377410130718954,0.9162258986928105,0
58,2025-01-19,0.0,0.05,1.49027971093223,0.0,1.0,0
59,2025-02-23,1.4349074975165215,0.24234995039682541,1.3224716462579746,0.24234995039682541,0.7576500496031746,0
60,2025-03-30,1.5,0.3520058760683761,1.2735839338956172,0.3520058760683761,0.6479941239316239,0
61,2025-03-21,0.0,0.05,1.1624689161699318,0.0,1.0,0
62,2025-02-20,1.5,0.08377410130718954,1.2928211884955363,0.08377410130718954,0.9162258986928105,0
63,2025-03-31,0.5879934992020178,0.13853395061728394,1.2386069795596844,0.13853395061728394,0.8614660493827161,0
