operating_day,slot15,actual_GPUh,safe_GPUh,shortfall_GPUh,burst_probability,burst_flag,false_negative,actual_N_label_only
2024-12-31,49,585.1886111111111,43.3968811830855,541.7917299280256,0.014695864,False,True,85
2025-01-19,91,533.3377777777778,3.319650091561936,530.0181276862158,0.0059603006,False,True,1
2024-12-14,32,535.1477777777777,8.500174299639568,526.6476034781382,0.0063230293,False,True,21
2025-01-14,74,514.3772222222223,3.7862024532991305,510.5910197689231,0.010153993,False,True,13
2025-02-07,95,534.3633333333333,27.477973611233846,506.8853597220995,0.0076211127,False,True,2
2025-01-31,92,533.35,43.678563289375596,489.67143671062445,0.0068568806,False,True,1
2024-12-20,15,509.6266666666666,24.35238468161423,485.27428198505237,0.015522757,False,True,4
2024-12-29,11,533.3711111111111,50.089250030804,483.28186108030707,0.0109063955,False,True,4
2024-12-25,59,483.9333333333334,7.515839729441765,476.4174936038916,0.0062632835,False,True,7
2025-01-31,93,533.3677777777777,57.73906022254022,475.62871755523753,0.0066712215,False,True,1
2025-02-01,94,489.5261111111111,17.00929923996684,472.5168118711443,0.006643551,False,True,2
2024-12-25,17,471.6088888888889,0.0,471.6088888888889,0.0066512334,False,True,3
2024-12-17,14,523.9444444444445,56.896339035421654,467.0481054090228,0.0075657438,False,True,9
2024-12-19,19,512.1288888888889,46.43498025126007,465.69390863762885,0.009924249,False,True,3
2024-12-15,38,500.2255555555556,42.770686250361635,457.454869305194,0.00963772,False,True,54
2025-02-17,13,513.4372222222221,59.9257745195695,453.5114477026526,0.015731713,False,True,22
2024-12-29,57,480.3955555555556,30.127339992444096,450.2682155631115,0.0096372105,False,True,2
2025-01-15,76,456.5011111111111,18.09044459563991,438.4106665154712,0.013044551,False,True,41
2025-02-08,64,447.7277777777779,11.850998265740332,435.87677951203756,0.011880143,False,True,9
2024-12-31,12,489.34055555555557,66.8278317271863,422.5127238283693,0.014696188,False,True,19
2025-02-22,56,484.7413888888886,64.078898866244,420.6624900226446,0.012983218,False,True,97
2024-12-16,39,453.06444444444446,38.30239347652024,414.7620509679242,0.009092324,False,True,2
2024-12-30,42,443.5777777777778,29.49184845351118,414.0859293242666,0.013136964,False,True,2
2025-02-18,29,2019.0280555555557,1609.3172222222217,409.710833333334,0.043376163,True,False,24
2024-12-28,44,433.9186111111111,34.77411696219097,399.1444941489201,0.011260536,False,True,2
2025-01-26,96,402.4980555555531,7.810192755049221,394.68786280050386,0.0026148777,False,True,269
2024-12-18,72,449.00666666666666,58.21553928047629,390.7911273861904,0.0049664425,False,True,6
2024-12-15,9,434.1333333333333,53.15531306745305,380.9780202658803,0.010454903,False,True,2
2025-02-24,2,400.569722222222,23.01311062059905,377.556611601623,0.009916609,False,True,127
2024-12-26,45,408.76138888888886,38.89436548731334,369.8670234015755,0.01600552,False,True,1225
2024-12-29,4,411.7022222222222,44.83019191477156,366.87203030745064,0.006788395,False,True,2
2025-02-12,96,391.94027777777785,25.815731918177097,366.12454585960074,0.0036733083,False,True,17
2024-12-16,65,399.7274999999999,34.73057088213599,364.99692911786394,0.013345864,False,True,106
2024-12-25,89,384.16,19.382590491475653,364.7774095085244,0.0036811032,False,True,1
2025-01-22,96,405.9769444444444,45.70732832115412,360.2696161232903,0.006296331,False,True,6
2024-12-31,82,370.7411111111111,20.910207404467126,349.83090370664394,0.007879629,False,True,4
2024-12-29,22,402.85527777777776,55.46709322750104,347.3881845502767,0.009272971,False,True,15
2025-01-01,86,383.69111111111107,40.372765518858245,343.31834559225285,0.008079238,False,True,7
2024-12-25,58,343.64,7.323725225775005,336.316274774225,0.0049226484,False,True,5
2024-12-14,30,341.9144444444443,5.759519253795666,336.15492519064867,0.008392393,False,True,46
2024-12-27,47,372.3075,41.35188378959724,330.95561621040275,0.013911443,False,True,7
2024-12-08,61,332.48,7.908234847610446,324.57176515238956,0.014262084,False,True,1
2024-12-30,39,326.94666666666666,23.719894329375084,303.22677233729155,0.00897809,False,True,1
2025-02-21,38,380.77666666666664,82.50792225513588,298.26874441153075,0.015558826,False,True,15
2024-12-08,75,288.68777777777774,5.2047725396994,283.48300523807836,0.009869301,False,True,13
2024-12-25,34,298.2066666666667,18.198572625310796,280.0080940413559,0.012975619,False,True,4
2024-12-17,26,337.57111111111107,58.669964484868146,278.9011466262429,0.013893223,False,True,8
2025-02-11,69,288.9224999999996,13.03093285681063,275.891567143189,0.008695155,False,True,54
2024-12-17,2,328.12666666666667,58.32790446609989,269.7987622005668,0.007110039,False,True,8
2025-02-17,94,305.81666666666666,36.43935344406452,269.37731322260214,0.0069880574,False,True,5
2024-12-28,50,297.0561111111111,29.727679191482785,267.3284319196283,0.008075536,False,True,18
2025-02-22,6,320.8275,60.6732441703413,260.15425582965867,0.012838935,False,True,8
