day,case,slot,da_authorized_nodeh,actual_available_nodeh,executed_original_rack_nodeh,executed_same_site_recourse_nodeh,executed_cross_site_recourse_nodeh,source_unavailable_nodeh,true_rack_capacity_limit_nodeh,grid_safety_blocked_nodeh,other_explicit_nodeh,terminal_backlog_nodeh,executed_total_nodeh,authorization_identity_error_nodeh,planning_Vmin_pu,planning_Vmax_pu,planning_rho_max,planning_transformer_kva_loading_max,planning_voltage_violation,planning_current_violation,planning_transformer_violation
2025-04-04,B1,40,4.219615609280639,3.635781547953216,0.8425179901342225,0.5206155928870001,1.096033083645442,0.5838340613274235,1.1766148812865511,0.0,0.0,63.821106147488344,2.4591666666666647,0.0,0.9845115744927412,1.0455295822940633,0.5270299843471956,0.4693909386752963,False,False,False
2025-04-04,B1,41,0.3389040347123,0.3389040347123,0.08555262788198281,0.15505832717419737,0.09829307965611989,0.0,0.0,0.0,0.0,63.482202112776044,0.3389040347123001,-5.551115123125783e-17,0.9843472523303506,1.0452825825352627,0.5271051780455464,0.4665094241043425,False,False,False
2025-04-04,B1,42,2.6293219442130273,2.5871415190650318,0.7456085503638876,0.4188302298926873,1.422702738808457,0.04218042514799558,4.440892098500626e-16,0.0,0.0,60.895060593711015,2.5871415190650318,-4.440892098500626e-16,0.9846112743498753,1.0458689217842436,0.5201543820441726,0.457911090980386,False,False,False
2025-04-04,B1,43,0.0640309584064497,0.0640309584064497,1.840873914137221e-05,0.0,0.06401254966730832,0.0,0.0,0.0,0.0,60.83102963530457,0.06403095840644969,1.3877787807814457e-17,0.9845931205032109,1.0454873163966807,0.517947273678044,0.4522174401875831,False,False,False
2025-04-04,B1,44,2.0670935310887346,1.5331552700845572,0.5366236275077225,0.36030566914081047,0.6362259734360244,0.5339382610041774,0.0,0.0,0.0,59.29787436522001,1.5331552700845572,0.0,0.9848759300435581,1.0461753482653213,0.512615696276179,0.45778243550922754,False,False,False
2025-04-04,B1,45,2.6795754863231895,2.4115962528829593,0.3132822139189408,0.3574032835270097,1.7409107554370093,0.2679792334402302,0.0,0.0,0.0,56.88627811233705,2.4115962528829598,-4.440892098500626e-16,0.9845782600781519,1.0460670685381557,0.5145210412123886,0.45480017736876854,False,False,False
2025-04-04,B1,46,1.9469252525709073,1.4973097042197883,0.28921854958482884,0.5295226678345714,0.6785684868003881,0.44961554835111905,0.0,0.0,0.0,55.388968408117265,1.4973097042197883,0.0,0.9857963989913483,1.0475816955155157,0.49799162533029945,0.45206728597160234,False,False,False
2025-04-04,B1,47,1.351799574352556,1.1042128764627541,0.25667856494087904,0.08454092260488384,0.7629933889169911,0.2475866978898018,2.220446049250313e-16,0.0,0.0,54.28475553165451,1.104212876462754,0.0,0.9859365543942571,1.0477334572473391,0.4967495903420397,0.44950451509050104,False,False,False
2025-04-04,B1,48,0.6073093187776948,0.4489554357219179,0.060259930134638706,0.22931528782785482,0.15938021775942435,0.1583538830557769,0.0,0.0,0.0,53.83580009593259,0.4489554357219179,0.0,0.98690419626856,1.042720523128588,0.48094133817625334,0.4442744453146172,False,False,False
2025-04-04,B1,49,1.0675759738668007,0.9442731320648313,0.13933164408346155,0.15193140817543926,0.6530100798059306,0.12330284180196938,0.0,0.0,0.0,52.891526963867754,0.9442731320648314,0.0,0.9869239039268801,1.0424482839373796,0.4823939616698156,0.43614303060080145,False,False,False
2025-04-04,B1,50,2.7010879925701525,1.5194923007608732,0.339518963093667,0.09370238753197746,1.0862709501352286,1.1815956918092794,4.440892098500626e-16,0.0,0.0,51.37203466310689,1.5194923007608732,-4.440892098500626e-16,0.9872593928584525,1.0430447185742604,0.47778909132779623,0.43056112025552834,False,False,False
2025-04-04,B1,51,0.6416709671916365,0.6416709671916365,5.181366191400821e-05,0.0,0.6416191535297225,0.0,0.0,0.0,0.0,50.730363695915244,0.6416709671916365,0.0,0.9870502029543191,1.0425731136183427,0.4780250065033233,0.42138924915598375,False,False,False
2025-04-04,B1,52,2.407769326539208,2.4028082561270647,0.6695822748656498,0.3174262821464184,1.415799699114996,0.004961070412143442,4.440892098500626e-16,0.0,0.0,48.327555439788185,2.402808256127064,4.440892098500626e-16,0.9870907580198902,1.042985628854393,0.4765910510499637,0.42187415784756754,False,False,False
2025-04-04,B1,53,2.225380776859134,2.159027049079763,0.43757481630592177,0.4867311859927791,1.2347210467810619,0.06635372777937087,0.0,0.0,0.0,46.16852839070842,2.1590270490797625,4.440892098500626e-16,0.9868871212647979,1.0423330938381234,0.47928105902313445,0.4249264799181822,False,False,False
2025-04-04,B1,54,1.9929809243058414,1.9929809243058414,0.00010366136981039553,0.0,1.9928772629360316,0.0,4.440892098500626e-16,0.0,0.0,44.17554746640258,1.992980924305842,-1.1102230246251565e-15,0.9871030340567416,1.0425931142417009,0.4777132470375016,0.4343235477220063,False,False,False
2025-04-04,B1,55,2.1701638735105777,2.1701638735105777,0.3352491234123192,0.0,1.8349147500982583,0.0,4.440892098500626e-16,0.0,0.0,42.005383592892,2.1701638735105777,-4.440892098500626e-16,0.9872098285498512,1.0430473911178548,0.4754475742654562,0.42768477530203913,False,False,False
2025-04-04,B1,56,4.890503587257278,4.890503587257278,1.025499860135167,0.3101733868477714,3.040090641905953,0.0,0.5147396983683876,0.0,0.0,38.29073081511422,4.3757638888888915,-8.881784197001252e-16,0.9864484908698268,1.0422362683140975,0.4874539437829234,0.4308658913411064,False,False,False
2025-04-04,B1,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.841008592892,0.0,0.0,0.9877722223084392,1.0434027177127347,0.4764367293617083,0.4389727074875113,False,False,False
2025-04-04,B1,58,1.2593749192897183,1.2593749192897183,9.641878852315554e-05,0.0,1.2592785005011953,0.0,0.0,0.0,0.0,38.58163367360228,1.2593749192897183,0.0,0.9868362963181141,1.0426220754040934,0.4938650516519535,0.44803372122010293,False,False,False
2025-04-04,B1,59,1.4523002233264664,1.4523002233264664,0.3074623850433156,0.2103439915753814,0.9344938467077696,0.0,0.0,0.0,0.0,37.129333450275816,1.4523002233264666,-2.220446049250313e-16,0.9877686583162792,1.0441005612364986,0.48976877313387895,0.446968276710692,False,False,False
2025-04-04,B1,60,2.327221853176537,1.6622816028670222,0.1414904272651167,0.0,1.5207911756019052,0.664940250309515,0.0,2.220446049250313e-16,0.0,35.4670518474088,1.662281602867022,0.0,0.9866767542900479,1.0432002041335804,0.5087098451031729,0.4595821554530238,False,False,False
2025-04-04,B1,61,1.362978982528224,1.1467555073981273,0.11794875578723019,0.0386106302801221,0.990196121330775,0.21622347513009665,0.0,0.0,0.0,34.32029634001067,1.1467555073981273,0.0,0.987890978272653,1.0447702521553555,0.5025947415856945,0.4677476802864953,False,False,False
2025-04-04,B1,62,1.6122901157393312,1.6122901157393312,0.07109946083915436,0.08497632079092768,1.4562143341092493,0.0,0.0,0.0,0.0,32.70800622427134,1.6122901157393312,0.0,0.9861612616535885,1.0433379197963444,0.5319986444238168,0.4700885479136122,False,False,False
2025-04-04,B1,63,0.7396546040553353,0.6022124194946582,0.18300533184518403,0.12801287397489997,0.29119421367457426,0.13744218456067714,0.0,0.0,0.0,32.10579380477668,0.6022124194946583,-1.1102230246251565e-16,0.9877329462230631,1.0459156305482689,0.5257573093292432,0.49265884281049743,False,False,False
2025-04-04,B1,64,1.7341438628787222,1.6962180626868426,0.592719519405091,0.6404705417597829,0.46302800152196855,0.03792580019187963,0.0,2.220446049250313e-16,0.0,30.409575742089842,1.6962180626868426,-2.220446049250313e-16,0.9858118759609261,1.0444320941071215,0.5586286985317004,0.4965151638542571,False,False,False
2025-04-04,B1,65,1.332612506446786,1.332612506446786,0.475802865583806,0.5304665748018793,0.32634306606110086,0.0,0.0,0.0,0.0,29.076963235643056,1.3326125064467862,-2.220446049250313e-16,0.9874626292572406,1.0471978255622754,0.5552862834323644,0.49876837917049316,False,False,False
2025-04-04,B1,66,0.13963895250888275,0.10108174508851184,3.205383837172918e-07,0.0,0.10108142455012813,0.038557207420370915,0.0,0.0,0.0,28.975881490554542,0.10108174508851184,0.0,0.986214821766431,1.0460774801776798,0.5796807376205629,0.5141030968632467,False,False,False
2025-04-04,B1,67,0.24601955376174856,0.13353625175977551,0.0001391526372679746,0.0,0.13339709912250752,0.11248330200197304,0.0,2.7755575615628914e-17,0.0,28.84234523879477,0.1335362517597755,0.0,0.9880836946140316,1.0425037374973747,0.5778841907345867,0.5259307281778193,False,False,False
