phase,track,horizon_minutes,unit,primary_baseline,causal_validity,fold,method,missing_baseline_rows,N,actual_sum,predicted_sum,MAE,RMSE,WAPE,bias,median_signed_error,underprediction_rate,shortfall,overreservation,normalized_shortfall,normalized_overreservation,zero_actual_fraction,max_abs_error,max_underprediction,relative_bias,Tweedie_deviance_p1_7,Tweedie_domain,GPUh_shortfall,GPUh_overreservation,skill_MAE,skill_RMSE,skill_WAPE
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B2_WEEKLY_SEASONAL,0,8591,183329.74000000002,158955.59999999998,27.38143483490474,49.30014126629328,1.283119185499672,-2.8371714585030854,-1.0,0.5552322197648702,129804.02333333335,105429.88333333333,0.7080358229566754,0.5750833625429966,0.1098824351065068,287.0,287.0,-0.13295246041367867,,,,,-2.0312250642399516,-0.847693758016614,-2.0312250642399516
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,prediction,0,8591,368943.43666666665,361395.2321741331,9.03727231539934,23.372173051262063,0.21043661099666416,-0.8786176804252727,-0.004656037674052982,0.5023862181352579,42593.705477064635,35045.500984531114,0.11544779292427754,0.09498881807238668,0.020137353043883133,322.71525434024466,322.71525434024466,-0.02045897485189085,,,,,0.012200083925736571,0.01868450084526785,0.012200083925736571
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B0_PERSISTENCE,0,8591,368943.43666666665,370215.45999999996,9.148889535560471,23.817185269563115,0.21303566397635065,0.14806464129127392,0.0,0.3410545920148993,38663.04333333333,39935.066666666666,0.1047939588860735,0.10824170509027713,0.020137353043883133,321.93666666666667,321.93666666666667,0.0034477462042036082,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B1_DAILY_SEASONAL,0,8591,368943.43666666665,372761.86333333334,29.988058821247037,63.361687241589536,0.6982843106275252,0.4444682419586388,-2.0,0.5666395064602491,126904.49333333333,130722.92,0.3439673422026182,0.354316968424907,0.020137353043883133,384.26000000000005,300.8166666666667,0.010349626222288763,,,,,-2.277781276589644,-1.6603348180929607,-2.2777812765896446
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B2_WEEKLY_SEASONAL,0,8591,368943.43666666665,405405.23666666663,53.81169518488341,95.26566904052027,1.2530275033758338,4.2441857758118955,-7.0,0.6222791293213829,212917.23666666666,249379.03666666668,0.5770999440736313,0.6759275593022024,0.020137353043883133,511.73333333333335,378.26000000000005,0.09882761522857103,,,,,-4.881773408207059,-2.9998710159199153,-4.881773408207059
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,prediction,0,8879,465518.56666666665,446180.4848643265,11.72040443180085,26.40906248553269,0.22354741228715705,-2.1779571801261586,0.0021521032079370173,0.4794458835454443,61701.77637614996,42363.694573809786,0.13254417931805362,0.09100323296910345,0.03299921162293051,249.57307756839165,249.57307756839165,-0.04154094634895013,,,,,0.04860880797883471,0.017609075977704447,0.048608807978834934
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B0_PERSISTENCE,0,8879,465518.56666666665,465393.39333333337,12.3192273904719,26.882437367604723,0.23496897402659989,-0.014097683673086355,0.0,0.3331456245072643,54753.796666666676,54628.62333333333,0.11761893206264529,0.1173500419639546,0.03299921162293051,247.74,247.74,-0.0002688900986906582,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B1_DAILY_SEASONAL,0,8879,465518.56666666665,464872.61333333334,45.221636070128014,78.41830584105485,0.8625282328517222,-0.07275068513721572,-1.0,0.513346097533506,201084.43000000002,200438.47666666668,0.4319579161790683,0.43057031667265405,0.03299921162293051,356.0,356.0,-0.0013875995064142556,,,,,-2.6708175469757083,-1.9170831784603939,-2.670817546975708
DIAGNOSTIC_CLONE,B,60,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F3_2025_03,B2_WEEKLY_SEASONAL,0,8879,465518.56666666665,499237.37666666665,60.317686301009864,93.91898430336244,1.150460529429653,3.7975909449262293,5.0,0.4412659083230093,250920.96333333338,284639.7733333334,0.5390138681901482,0.6114466612395053,0.03299921162293051,360.0,360.0,0.07243279304935706,,,,,-3.8962231468883815,-2.493693039030069,-3.8962231468883806
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,prediction,0,26061,1016788.6433333333,944032.3386672479,14.246690957020977,32.47894912603888,0.36515259632891683,-2.791769489508668,0.0,0.49982732819155057,222019.65884850454,149263.3541824191,0.2183537948660191,0.1467988014628977,0.05368174667127125,316.01862883518106,316.01862883518106,-0.07155499340312138,,,,,0.053686171790647275,0.04346491637495209,0.053686171790647386
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B0_PERSISTENCE,0,26061,1016788.6433333333,1018778.7966666666,15.054932657994707,33.95479128998712,0.3858683931734053,0.07636519447961838,0.0,0.3596945627566095,195178.22333333336,197168.37666666665,0.191955550067398,0.19391284310600726,0.05368174667127125,317.17,317.17,0.001957293038609307,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B1_DAILY_SEASONAL,0,26061,1016788.6433333333,1016382.2466666666,34.049393218474606,65.84750268712175,0.8727096260218197,-0.015594054973587219,-1.0,0.5170177660105137,443883.81666666665,443477.42,0.43655465624742273,0.4361549697743969,0.05368174667127125,384.26000000000005,356.0,-0.0003996864730258673,,,,,-1.2616768863720664,-0.9392698404404394,-1.2616768863720664
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,POOLED,B2_WEEKLY_SEASONAL,0,26061,1016788.6433333333,1060201.7466666666,47.26408848470895,82.41111399107065,1.2114114551495794,1.6658264584372566,-1.81,0.5393499865699705,594168.1533333333,637581.2566666666,0.5843575823048875,0.6270538728446917,0.05368174667127125,511.73333333333335,378.26000000000005,0.0426962905398042,,,,,-2.139442039258145,-1.4270835089883986,-2.139442039258145
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,prediction,0,8591,183654.94666666666,167281.55637007713,12.096291312894445,30.041507475319005,0.5658395842595483,-1.9058771151890972,-0.046149236273263616,0.5130950995227563,60146.31448283285,43772.92418624333,0.3274962944069145,0.23834328985263376,0.10860202537539285,288.7730904736379,288.7730904736379,-0.08915300455428082,,,,,0.041533938136648296,0.06333059442051636,0.04153393813664841
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B0_PERSISTENCE,0,8591,183654.94666666666,183169.94333333333,12.620469095565129,32.07268999752736,0.590359540910088,-0.05645481705660962,0.0,0.32475846816435805,54453.72666666666,53968.72333333333,0.2965001904658744,0.29385935044421346,0.10860202537539285,287.6766666666667,287.6766666666667,-0.00264084002166091,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B1_DAILY_SEASONAL,0,8591,183654.94666666666,180005.11333333334,26.587089589880883,52.760801180122414,1.2436892706256901,-0.4248438288130984,0.0,0.47095797928064254,116029.76,112379.92666666665,0.6317812947918782,0.6119079758338117,0.10860202537539285,299.68,299.68,-0.019873318958066336,,,,,-1.106664133365983,-0.6450382298519393,-1.106664133365983
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F1_2024_09,B2_WEEKLY_SEASONAL,0,8591,183654.94666666666,159228.65666666668,27.38557909440112,49.300449148318066,1.2810409644288736,-2.8432417646374106,-1.0,0.556163426842044,129847.9,105421.61,0.7070209779629495,0.5740199864659241,0.10860202537539285,287.0,287.0,-0.13300099149702543,,,,,-1.169933533138201,-0.5371473098177568,-1.169933533138201
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,prediction,0,8591,367471.42,352830.30465758755,12.96880666074573,30.076749644973997,0.303193696049795,-1.7042387780715234,-0.0375290076010657,0.5057618437900128,63028.06668243951,48386.95134002705,0.1715182821086862,0.13167541394110882,0.020137353043883133,316.01862883518106,316.01862883518106,-0.03984286816757738,,,,,0.033920334815651376,0.0435158511701319,0.03392033481565149
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B0_PERSISTENCE,0,8591,367471.42,370215.45999999996,13.42415861560548,31.44511038867599,0.3138392277327763,0.3194086835059948,0.0,0.38575253171924107,56291.45333333334,59035.49333333333,0.15318593574796469,0.1606532919848116,0.020137353043883133,317.17,317.17,0.00746735623684694,,,,,0.0,0.0,0.0
DIAGNOSTIC_CLONE,B,120,average active GPUs,B0_PERSISTENCE,FAIL_OR_UNPROVEN_ORIGINAL_FEATURES,F2_2024_11,B1_DAILY_SEASONAL,0,8591,367471.42,371237.63666666666,29.9792593023707,63.36017926885621,0.700875776044479,0.4383909517712344,-2.0,0.5668723082295426,126892.79999999999,130659.01666666666,0.3453133851878875,0.3555623908565914,0.020137353043883133,384.26000000000005,300.8166666666667,0.010249005668703908,,,,,-1.2332319038245005,-1.014945359888877,-1.233231903824501
