role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,block_days,draws,nonfinite_draws,N_days,N_pairs,interpretation
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,1,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q95,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,7,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R3,R2,coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,GPU_coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,long_under,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,missed_GPU_slots,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,overreserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,reserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,reserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q90,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q95,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,overreserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,missed_slots_reduction,0.0,0.0,0.0,1,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R3,R2,coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,GPU_coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,long_under,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,missed_GPU_slots,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,overreserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
