issue_time,role,N_training,N_queries,learned,latest_training_end,membership_sha256,feature_available_time
2025-04-20 08:00:00+00:00,EXPOSED_EVALUATION,6717,160,True,2025-04-20 01:57:43+00:00,fb6f543970aed2bd6f47883a59defb119be51c65483cd6f7217f3ad5452ad90a,2025-04-20 08:00:00+00:00
2025-04-21 08:00:00+00:00,EXPOSED_EVALUATION,6830,221,True,2025-04-21 05:28:54+00:00,fef2100c77530a319862290557e5fb54cf31771049c3c0b213b881a13baec217,2025-04-21 08:00:00+00:00
2025-04-22 08:00:00+00:00,EXPOSED_EVALUATION,7012,390,True,2025-04-22 05:54:15+00:00,fac842edbf984a3d142339a866b88bdab61be1330d4ba259b882058da98c277d,2025-04-22 08:00:00+00:00
2025-04-23 08:00:00+00:00,EXPOSED_EVALUATION,7357,377,True,2025-04-23 05:30:00+00:00,9a7086c20c5071407bfd326f5bea73a63c1b00788576bbe1f289ec7bd584c02c,2025-04-23 08:00:00+00:00
2025-04-30 08:00:00+00:00,MAY_HISTORICAL,7734,264,True,2025-04-29 12:14:28+00:00,a123153b6f77efbeb0a3420a5a51ba252e7f378fb24e55d4cd04a81ddb205be5,2025-04-30 08:00:00+00:00
2025-05-01 08:00:00+00:00,MAY_HISTORICAL,7924,189,True,2025-05-01 07:46:07+00:00,98672cf0d4ba77550a2ddc417dfceed9e3a2bd67fb27337beb872451aba2f978,2025-05-01 08:00:00+00:00
2025-05-02 08:00:00+00:00,MAY_HISTORICAL,8085,317,True,2025-05-02 07:14:05+00:00,8a9fa72e7940d483df33e7b3e49ba6df8244d9fe73dc0d40eafd06f0bdfb9c4f,2025-05-02 08:00:00+00:00
2025-05-03 08:00:00+00:00,MAY_HISTORICAL,8393,282,True,2025-05-03 06:41:44+00:00,36070f63cdbbbc6f797919470c2a432914c9a5063cf7342b1e5f978fefd48852,2025-05-03 08:00:00+00:00
2025-05-04 08:00:00+00:00,MAY_HISTORICAL,8626,364,True,2025-05-04 07:54:16+00:00,3e6dc3ad805590a3f01fb128d36c717700a45e07a8e124087930e8b494ee7e5e,2025-05-04 08:00:00+00:00
2025-05-05 08:00:00+00:00,MAY_HISTORICAL,8873,364,True,2025-05-05 07:53:33+00:00,999e5bb8dcdc83604db749c7f76eae7c7ca0332503288777672171e1b75fcb58,2025-05-05 08:00:00+00:00
2025-05-06 08:00:00+00:00,MAY_HISTORICAL,9227,430,True,2025-05-06 05:37:35+00:00,d11be6f24d10facf3579c57c1072cca159bbfa4149b74afe220f86438f4be85c,2025-05-06 08:00:00+00:00
2025-05-07 08:00:00+00:00,MAY_HISTORICAL,9577,231,True,2025-05-07 06:04:47+00:00,56da0ae34c6d1f6455a94d998de84607a2806a29a3939e460859dc39cff82eae,2025-05-07 08:00:00+00:00
2025-05-08 08:00:00+00:00,MAY_HISTORICAL,9803,348,True,2025-05-08 07:30:02+00:00,f7e44d26d83d4df3fb095aa05e7e96c09ab1b73d2b7d131d8f3e8489471cecf8,2025-05-08 08:00:00+00:00
2025-05-09 08:00:00+00:00,MAY_HISTORICAL,10026,366,True,2025-05-09 07:50:31+00:00,b401505f2a469085dbf47b1e36448a1b6b6b6b1a06a0754f3ea75e498c3af178,2025-05-09 08:00:00+00:00
