u_hours,body,classifier,policy,role,body_gate,tail_gate,nontrivial_flagging_gate,hybrid_gate,temporal_gate,PASS_gate,reference_only_gate,tail_N,tail_recall,GPU_tail_recall,ECE,mass_capture,flagged_fraction,GPU_mass_ratio,overreservation_ratio
6,B0,C1,R1,DEVELOPMENT,False,False,True,False,False,False,True,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9759322095758145,0.7634606534744592,0.024090068458694963,3.58464500951564
6,B0,C2,R0,DEVELOPMENT,False,False,False,False,True,False,True,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9956400979919725,0.8359410952600093,1.0,1.0
6,B0,C2,R1,DEVELOPMENT,False,False,False,False,False,False,True,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9956400979919725,0.8359410952600093,0.004373488863633882,4.07427953521754
6,B0,C3,R0,DEVELOPMENT,False,False,True,False,True,False,True,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9676067630669962,0.6203405430280718,1.0,1.0
6,B0,C3,R1,DEVELOPMENT,False,False,True,False,False,False,True,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9676067630669962,0.6203405430280718,0.03269873280666487,2.5997847223431974
6,B1,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,1.0,1.0
6,B1,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,7.072675619741094e-05,5.184922368093814
6,B1,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9595709868713793,0.7634606534744592,1.068368916661247,0.6691117615002096
6,B1,C1,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9595709868713793,0.7634606534744592,0.09245898511994191,3.2537567710158495
6,B1,C2,R0,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9914431205754943,0.8359410952600093,1.0150329762447035,0.8176330764953448
6,B1,C2,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9914431205754943,0.8359410952600093,0.01940646510833733,3.8919126117128853
6,B1,C3,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9555395641222405,0.6203405430280718,1.0692783961498344,0.5046822362094111
6,B1,C3,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9555395641222405,0.6203405430280718,0.10197712895649921,2.104466958552609
6,B2,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,1.0,1.0
6,B2,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,7.072675619741094e-05,5.184922368093814
6,B2,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9601870644844427,0.7634606534744592,1.0629249796070483,0.6779591155460915
6,B2,C1,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9601870644844427,0.7634606534744592,0.08701504806574334,3.2626041250617313
6,B2,C2,R0,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.991492335814363,0.8359410952600093,1.0152226487136475,0.8106928275636134
6,B2,C2,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.991492335814363,0.8359410952600093,0.01959613757728152,3.8849723627811534
6,B2,C3,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9560306970188721,0.6203405430280718,1.0639103280832134,0.5066275946641302
6,B2,C3,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9560306970188721,0.6203405430280718,0.09660906088987832,2.1064123170073277
6,B3,C0,R0,DEVELOPMENT,False,False,False,False,True,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,1.0,1.0
6,B3,C0,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,1.0,1.0,0.14337457026068587,1.0,1.0,7.072675619741094e-05,5.184922368093814
6,B3,C1,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9691046395445453,0.7634606534744592,1.0400857167821653,0.7237093336554061
6,B3,C1,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9515615041427661,0.932067932067932,0.17916516182286318,0.9691046395445453,0.7634606534744592,0.06417578524086022,3.308354343171046
6,B3,C2,R0,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9904824209632063,0.8359410952600093,1.0157489265908115,0.803237506509064
6,B3,C2,R1,DEVELOPMENT,False,False,False,False,False,False,,1569,0.9866156787762906,0.987012987012987,0.290916533212212,0.9904824209632063,0.8359410952600093,0.02012241545444533,3.8775170417266036
6,B3,C3,R0,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9637488928496579,0.6203405430280718,1.0431526573808365,0.5454744327756711
6,B3,C3,R1,DEVELOPMENT,False,False,True,False,False,False,,1569,0.9521988527724665,0.932067932067932,0.2864775728662334,0.9637488928496579,0.6203405430280718,0.07585139018750135,2.1452591551188687
6,B0,C0,R0,CALIBRATION,False,True,False,False,True,False,True,500,1.0,1.0,0.027821698155344216,1.0,1.0,1.0,1.0
6,B0,C0,R1,CALIBRATION,False,True,False,False,False,False,True,500,1.0,1.0,0.027821698155344216,1.0,1.0,0.007447076110998035,12.14239875297792
6,B0,C1,R0,CALIBRATION,False,False,False,False,True,False,True,500,1.0,1.0,0.25340131143856287,1.0,1.0,1.0,1.0
