session_id,GPU_type,source_relative_path,nominal_sampling_interval_seconds,nominal_sampling_frequency_Hz,duration_seconds,delta_median_seconds,delta_P05_seconds,delta_P95_seconds,delta_min_seconds,delta_max_seconds,duplicate_timestamps,non_monotonic_rows,gap_count,gap_rule,native_or_resampled,source_archive_sha256,source_code_commit
session_28247ca2008cf332,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize64_BatchSize128.csv,0.02,50.0,899.979918,0.02,0.019986,0.020014,0.006483,0.432859,0,0,107,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2c73680ee7392ae0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/numHiddenUnits Size/Single_machine_EmbedDim256_HiddenUnit1024_batchsize256.CSV,0.1,10.0,950.686,0.094,0.091,0.097,0.009,0.164,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2d354ce38c264786,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Sequance_length_cut/LLM_H100_8GPU_Node_Lamma8B_SeqLength1024_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979909,0.02,0.019993,0.020007,0.006587,0.071235,0,0,270,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2d523b3597541275,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize100.CSV,0.1,10.0,957.148,0.093,0.09,0.1,0.075,1.045,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_2da87dca1b1e93bc,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Batch_size/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979932,0.02,0.019992,0.020008,0.006539,0.077083,0,0,255,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_3a40a97911997e78,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/DeepSpeed_parallel_sitting/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16.csv,0.02,50.0,899.979988,0.019999,0.019854,0.020131,0.005986,0.162518,0,0,446,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_3f8b6b898cb6e851,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Sequance Length/Single_machine_SeqLen250_EmbedDim100_batchsize128.CSV,0.1,10.0,950.185,0.093,0.091,0.107,0.059,1.122,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_408eac80b1acf411,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,0.02,50.0,899.979981,0.019999,0.018682800000000003,0.020416,0.00636,0.114051,0,0,389,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_4491ce98abd1cf81,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/BatchSize/Single_machine_EmbedDim256_HiddenUnit512_batchsize256.CSV,0.1,10.0,954.749,0.094,0.091,0.101,0.067,0.116,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_457c28887a89a1c0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Sequance Length/Single_machine_InputTypeSequance_Sequancelength150_LayerSize256_batchsize150.CSV,0.1,10.0,951.577,0.094,0.091,0.106,0.022,0.267,0,0,26,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_504310c3c85cec91,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/Batch_size/Single_machine_InputTypeSequance_Sequancelength250_LayerSize256_batchsize350.CSV,0.1,10.0,950.567,0.094,0.09,0.105,0.021,0.635,0,0,19,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_55c38c873ff77feb,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Batch_size/Single_machine_NumLayer6_SeqLength96_LayerSize500_batchsize50.CSV,0.1,10.0,955.479,0.099,0.083,0.104,0.034,0.121,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_57964233f175c0ba,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize512.CSV,0.1,10.0,954.649,0.093,0.09,0.107,0.065,0.122,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_5f0e0d1645573822,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Batch_size/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize2.csv,0.02,50.0,899.979949,0.02,0.019995,0.020005,0.006557,0.072411,0,0,126,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_62e4505d7904a8fe,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Model Size/Single_machine_NumLayer6_SeqLength96_LayerSize1000_batchsize100.CSV,0.1,10.0,947.028,0.093,0.09,0.1,0.072,0.933,0,0,2,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_66fd092cfc95757c,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize512.csv,0.02,50.0,899.97976,0.02,0.0192996,0.020021,0.009686,2.770877,0,0,313,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_6801f82b45cdba64,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/BatchSize/Single_machine_EmbedDim256_HiddenUnit512_batchsize128.CSV,0.1,10.0,955.411,0.094,0.091,0.104,0.034,0.117,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_6b0157ef68399755,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize2.csv,0.02,50.0,899.980155,0.019999,0.019897,0.020101,0.006944,0.122029,0,0,38,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_6cf954584c02c554,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize256.csv,0.02,50.0,899.979954,0.019999,0.019723,0.020224,0.00618,0.101307,0,0,206,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_71178f736f0bc412,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Embedding Dimension/Single_machine_SeqLen100_EmbedDim1000_batchsize128.CSV,0.1,10.0,950.577,0.093,0.091,0.107,0.045,0.23,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_717fa9853ea43612,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize32.csv,0.02,50.0,899.97999,0.019999,0.019825,0.020142,0.00589,0.168266,0,0,477,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_77ab55090b19a951,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Model_Size/LLM_B200_8GPU_Node_Lamma1B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979881,0.019999,0.019791,0.020193,0.005724,0.122128,0,0,368,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_77e46ce1a25f76b6,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Batch_size/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.980153,0.019999,0.019857,0.020131,0.00575,0.136973,0,0,366,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_7f791865b5122cce,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Model_size_impact/Image_generation_B200_8GPU_Node_ModelSize512_ImageSize32_BatchSize128.csv,0.02,50.0,899.980021,0.019999,0.019863,0.020133,0.006414,0.107053,0,0,141,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_804d435bfaf083e1,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Image Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize224_batchsize1500.CSV,0.1,10.0,,,,,,,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_8a03097b6153403b,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Batch_size/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z3_BatchSize32.csv,0.02,50.0,899.97996,0.02,0.019991,0.020007,0.006563,0.088301,0,0,494,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_8ae104680cf0caa8,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Input secaunce Length/Single_machine_NumLayer6_SeqLength672_LayerSize500_batchsize100.CSV,0.1,10.0,952.559,0.093,0.091,0.106,0.061,0.13,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_93c229757c03fe4f,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Number of Layers/Single_machine_NumLayer8_SeqLength96_LayerSize500_batchsize100.CSV,0.1,10.0,951.771,0.093,0.09,0.1,0.055,0.125,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_97247f83f4652856,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Model_Size/LLM_H100_8GPU_Node_Lamma3B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.980005,0.02,0.019948,0.0200521,0.005153,0.121585,0,0,160,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_9955d7e6fc3d69c5,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/DeepSpeed_parallel_sitting/LLM_B200_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z1_BatchSize16.csv,0.02,50.0,899.979978,0.019999,0.019763,0.0201731,0.006217,0.318058,0,0,539,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_9b47a658d3b339a3,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Sequance_length_cut/LLM_H100_8GPU_Node_Lamma8B_SeqLength4096_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979912,0.02,0.019993,0.020007,0.006556,0.119873,0,0,306,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_9dc6aa3e77f6eec0,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/Model_Size/LLM_H100_8GPU_Node_Lamma1B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979918,0.02,0.019903,0.020093,0.005149,0.119894,0,0,347,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_a68cb99554867ecd,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/Embedding Dim/Single_machine_EmbedDim512_HiddenUnit512_batchsize256.CSV,0.1,10.0,950.767,0.094,0.091,0.105,0.039,0.417,0,0,7,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_acb6322fa64f9589,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Image_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize16_BatchSize128.csv,0.02,50.0,899.979933,0.02,0.019984,0.020018,0.007541,0.057078,0,0,32,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_ad6821f3c93d325c,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Image Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize280_batchsize1500.CSV,0.1,10.0,951.491,0.094,0.09,0.097,0.014,0.273,0,0,3,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_adae127160c2fed9,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/Embedding Dim/Single_machine_EmbedDim1024_HiddenUnit512_batchsize256.CSV,0.1,10.0,950.899,0.094,0.091,0.106,0.032,0.27,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_ade33ae000359913,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Model_size_impact/Image_generation_B200_8GPU_Node_ModelSize256_ImageSize32_BatchSize128.csv,0.02,50.0,899.980004,0.019999,0.0198,0.020183,0.006772,0.090967,0,0,232,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
