session_id,GPU_type,source_relative_path,raw_samples,missing_power_values,nonfinite_power_values,negative_power_values,zero_power_values,above_100_percent_TDP_values_retained,maximum_TDP_percent,maximum_power_W,minimum_power_W,CPU_power_non_null,CPU_temperature_non_null,duplicate_timestamps,non_monotonic_rows,gap_count,session_truncation,classification,source_archive_sha256,source_code_commit
session_c4fd7f45a9a511fe,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Input secaunce Length/Single_machine_NumLayer6_SeqLength192_LayerSize500_batchsize100.CSV,9926,,,,,,,,,,,0,1,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c6449aeb96e706a9,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Model Size/Single_machine_NumLayer6_SeqLength96_LayerSize1500_batchsize100.CSV,10145,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c87679f6b5d48b01,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Sequance_length_cut/LLM_B200_8GPU_Node_Lamma8B_SeqLength4096_Deepspeedds_z3_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,2.0,103.3313,1069.529,190.731,0.0,0.0,0,0,330,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cd37a26480121e37,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/numHiddenUnits Size/Single_machine_EmbedDim256_HiddenUnit2048_batchsize256.CSV,10107,,,,,,,,,,,0,0,1,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cdf1fca8b3548d57,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Number of Filters/Single_machine_OptimizerAdam_NumFilter32_ImageSize112_batchsize1500.CSV,10095,,,,,,,,,,,0,0,7,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cdf81cf3a1312f53,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/LayerSize/Single_machine_InputTypeSequance_Sequancelength250_LayerSize1024_batchsize150.CSV,9965,,,,,,,,,,,0,0,43,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_d37cdfdd6611eb16,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Model_Size/LLM_B200_8GPU_Node_Lamma3B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,0.0,88.1204,881.204,189.87,0.0,0.0,0,0,300,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_d571da6eb66a6e91,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/DeepSpeed_parallel_sitting/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16.csv,45000,0.0,0.0,0.0,0.0,486.0,103.82528571428573,812.037,119.705,0.0,0.0,0,0,395,False,VALID_WITH_RETAINED_TRANSIENT_EXTREMES,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_dc8fc99e1b00960f,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Sequance Length/Single_machine_SeqLen500_EmbedDim100_batchsize128.CSV,10094,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_e2fbf4d475955276,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize512_ImageSize32_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,92.77,757.604,117.281,0.0,0.0,0,0,190,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_e3124c3636f22cba,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize128.CSV,10057,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_f46587705b20ec65,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize512.csv,45000,0.0,0.0,0.0,0.0,0.0,75.69069999999999,756.907,187.923,0.0,0.0,0,0,159,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_f8f7f3674a6c8c15,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,45000,0.0,0.0,0.0,0.0,0.0,61.49285714285714,474.196,114.873,0.0,0.0,0,0,361,False,VALID,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_fd142fca563362af,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize2250.CSV,10149,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_fed8f03d853e925e,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Number of Layers/Single_machine_NumLayer10_SeqLength96_LayerSize500_batchsize100.CSV,10100,,,,,,,,,,,0,0,0,False,NOT_PRIMARY_H100_B200_SCOPE_TIMEBASE_ONLY,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
