job_id,state_at_issue,workload_class,requested_GPUs,requested_nodes,requested_walltime_seconds,T_hat_point_seconds,T_hat_point_modeled_total_seconds,q90_plus_seconds,T_hat_safe_seconds,elapsed_seconds_at_issue,remaining_point_seconds,remaining_safe_seconds,point_covered,point_prediction_covered,safe_covered,covered,coverage_fallback_flag,missing_fields,model_version,model_id,model_source_HEAD,prediction_issue_time,requested_remaining_GPU_hours_at_issue,OLD_RS_predicted_release_slot,survival_category,elapsed_ge_requested,elapsed_gt_requested,requested_total_GPU_hours,OLD_RS_release_timestamp_AEST
7709194,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709195,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709196,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709197,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709198,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709199,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,5408.0,50714.3359375,56290.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.5,63,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T09:45:00+10:00
7709200,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,4778.0,51344.3359375,56920.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.75,64,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:00:00+10:00
7709201,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,4778.0,51344.3359375,56920.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,34.75,64,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:00:00+10:00
7709202,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3959.0,52163.3359375,57739.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709203,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3959.0,52163.3359375,57739.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709204,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3610.0,52512.3359375,58088.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709205,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3610.0,52512.3359375,58088.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709206,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3610.0,52512.3359375,58088.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709207,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3610.0,52512.3359375,58088.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709208,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3610.0,52512.3359375,58088.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.0,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709209,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3254.0,52868.3359375,58444.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.25,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709210,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,3254.0,52868.3359375,58444.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.25,65,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:15:00+10:00
7709211,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,2513.0,53609.3359375,59185.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,66,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:30:00+10:00
7709212,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,2513.0,53609.3359375,59185.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,66,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:30:00+10:00
7709213,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,2197.0,53925.3359375,59501.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,67,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:45:00+10:00
7709214,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,2197.0,53925.3359375,59501.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,67,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:45:00+10:00
7709215,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1877.0,54245.3359375,59821.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,67,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:45:00+10:00
7709216,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1877.0,54245.3359375,59821.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.5,67,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T10:45:00+10:00
