case_id,site_id,P_peak_MW,PF_assumed,loading_fraction,S_required_MVA,standard_rating_MVA,rating_exceeds_required,REAL_DNSP_INTERFACE_MVA,authority
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC05,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC06,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC07,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,0.95,0.8,0.3376221916723901,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
