date,A1_2_rho,M1_2_rho,A2_2_rho,M2_2_rho,A1_2_runtime_s,M1_2_runtime_s,A2_2_runtime_s,M2_2_runtime_s,A1_2_job_decision_changes,M1_2_route_changes,A2_2_job_decision_changes,M2_2_PQ_changes,A1_2_P1,A1_2_P2,A1_2_P3,A1_2_P4,A1_2_P5,A2_2_P1,A2_2_P2,A2_2_P3,A2_2_P4,A2_2_P5,A2_candidate_accepted,M2_candidate_accepted
2025-05-11,0.5618961886042992,0.5618961886042992,0.5618961886042992,0.5618961886042992,2066.0911462306976,905.0902617999964,2072.381468899999,41.80870579999464,0,0,0,0,0.5618961886042992,2127.444440593547,3,8932,956508649,0.5618961886042992,2127.444440593547,3,8932,956508649,true,true
2025-05-12,0.606423643621405,0.606423643621405,0.606423643621405,0.606423643621405,2068.7816214561462,904.7437701000017,2024.204002700004,39.425027000004775,0,0,0,0,0.606423643621405,2527.3255026007514,13,4388,1386631582,0.606423643621405,2527.3255026007514,13,4388,1386631582,true,true
2025-05-13,0.5934050806817659,0.5934050806817659,0.5934050806817659,0.5934050806817659,2243.186059951782,907.5564024999912,2278.379640900006,56.40591349999886,0,0,0,0,0.5934050806817659,2306.3354892694356,15,17018,3093999074,0.5934050806817659,2306.3354892694356,15,17018,3093999074,true,true
2025-05-14,0.6087515794034098,0.6087515794034098,0.6087515794034098,0.6087515794034098,2156.0102174282074,908.4447269000229,2176.184918099985,41.35936999999103,0,0,0,0,0.6087515794034098,2153.615302763069,6,7918,2186081674,0.6087515794034098,2153.615302763069,6,7918,2186081674,true,true
2025-05-15,0.6182423998906924,0.6182423998906924,0.6182423998906924,0.6182423998906924,2193.015345811844,904.4514213000075,2170.640518399974,44.99621969999862,0,0,0,0,0.6182423998906924,1812.4410911945174,19,25958,2879719199,0.6182423998906924,1812.4410911945174,19,25958,2879719199,true,true
2025-05-16,0.5877113330883675,0.5877113330883675,0.5877113330883675,0.5877113330883675,2269.646515607834,903.1322792000137,2263.9779109999945,41.53261569997994,0,0,0,0,0.5877113330883675,1369.1323269839454,10,6040,2626053850,0.5877113330883675,1369.1323269839454,10,6040,2626053850,true,true
2025-05-17,0.561646045010973,0.561646045010973,0.561646045010973,0.561646045010973,1937.3988723754883,903.2719011000008,1930.2550790999958,43.26411800002097,0,0,0,0,0.561646045010973,426.84736727076375,9,14228,51717935,0.561646045010973,426.84736727076375,9,14228,51717935,true,true
2025-05-18,0.6351610488831644,0.6351610488831644,0.6351610488831644,0.6351610488831644,1923.7897458076477,904.9130644999968,1898.6873448000115,40.788704100006726,0,0,0,0,0.6351610488831644,1381.7954930660142,5,7888,31085941,0.6351610488831644,1381.7954930660142,5,7888,31085941,true,true
2025-05-19,0.6949862431093202,0.6949862431093202,0.6949862431093202,0.6949862431093202,2052.27019739151,905.5908313000109,2074.76505419999,36.30993889999809,0,0,17,0,0.6949862431093202,1245.3683913572063,0,0,504324295,0.6949862431093202,1245.2603666658483,3,1314,504286616,true,true
2025-05-20,0.6873379810655036,0.6873379810655036,0.6873379810655036,0.6873379810655036,2107.066468000412,904.068337100005,2082.1637169999885,37.13134700001683,0,0,0,0,0.6873379810655036,2412.2099117005405,7,12264,943307318,0.6873379810655036,2412.2099117005405,7,12264,943307318,true,true
